Modelo	Pooling	Nhid	epochs	qtd_layers	MR	CR	SUBJ	MPQA	SST2	SST5	TREC	MRPC	Avg_with_SST5	Avg_without_SST5	paper_name	paper_link	year
PromptEOL (Lllama2-7B)	llm	decoder-only	not	not	90.63	92.87	96.32	91.19	95.00	0.00	95.40	75.19	0.00	90.94	Token Prepending: A Training-Free Approach for Eliciting Better Sentence Embeddings from LLMs	https://arxiv.org/pdf/2412.11556	2024
PromptEOL + TP (Ours) (Lllama2-7B)	llm	decoder-only	not	not	90.90	93.35	96.58	91.51	95.50	0.00	96.00	76.12	0.00	91.42	Token Prepending: A Training-Free Approach for Eliciting Better Sentence Embeddings from LLMs	https://arxiv.org/pdf/2412.11556	2024
Pretended CoT (Lllama2-7B)	llm	decoder-only	not	not	90.10	92.24	96.32	91.54	95.11	0.00	94.20	75.77	0.00	90.75	Token Prepending: A Training-Free Approach for Eliciting Better Sentence Embeddings from LLMs	https://arxiv.org/pdf/2412.11556	2024
Pretended CoT + TP (Ours) (Lllama2-7B)	llm	decoder-only	not	not	90.45	92.61	96.52	91.59	95.77	0.00	96.00	76.81	0.00	91.39	Token Prepending: A Training-Free Approach for Eliciting Better Sentence Embeddings from LLMs	https://arxiv.org/pdf/2412.11556	2024
Knowledge (Lllama2-7B)	llm	decoder-only	not	not	89.84	93.03	96.21	91.54	94.78	0.00	97.20	73.91	0.00	90.93	Token Prepending: A Training-Free Approach for Eliciting Better Sentence Embeddings from LLMs	https://arxiv.org/pdf/2412.11556	2024
Knowledge + TP (Ours) (Lllama2-7B)	llm	decoder-only	not	not	90.39	93.32	96.31	91.56	94.51	0.00	97.60	76.06	0.00	91.39	Token Prepending: A Training-Free Approach for Eliciting Better Sentence Embeddings from LLMs	https://arxiv.org/pdf/2412.11556	2024
CLTC-RoBERTa=Large			5	24	88.22	92.54	95.14	90.12	92.57	0.00	91.99	77.27	0.00	89.69	Contrastive Learning with Transformer Initialization and Clustering Prior for Text Representation	https://pdf.sciencedirectassets.com/272229/1-s2.0-S1568494624X00150/1-s2.0-S1568494624009360/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHYaCXVzLWVhc3QtMSJGMEQCIEt6YbTt65ukKfTD3bu0kD705kuMYotz8gH0y7JjH8PJAiAEr557NOLDnxNIr7FcHO9eFgXM99FsYPWXZ07TG7bc5yqzBQhfEAUaDDA1OTAwMzU0Njg2NSIMDxZIcdb6ZQ%2FZeUVkKpAF8MiOfNC9fUorVMiLkFp5l7ZbqlXZiS%2BFLNIV8TA0Hw%2FezqUgN1LqtHhjjrOZcARLECIAVv8LKA955vX%2BMSRK564pOJSF6%2FNkQOSEpiODriMyex2RUubgBahKySP%2BOKrBkZWrIm7cRqVBArRPrjgUJNZiOrzdjyxzs6hIfF3PApo8egsTnEvwIGZdfVHvOGgFZFnovHjMGXn%2BI%2FR8rnpxDXt7yk2V7OncGyRt%2F5lY%2F02yAO%2F1%2FqT5JGT5abPaw3NzUUTIBi9IXH5G4%2FFc2XyjvZaXS%2BpuF9EBC90xtWNssoOda%2FbNDjDp8m6jfGDv%2B3bwlKDHO4WS8zBv9JOpVEI9nsb3OuUjsKs%2BzVN1kxdcx6koalu2N81BXL6YATMbJ6LldHsxxIbwPN9Tpg8Tyxl0GCSRI12KZaUlaglbMg1lbnzUmaC4OXz3vPwModQvO0RSHaYblAOeyEkJXQpwNWdvXePBmqzmn5VnvOjkQmg7iOMPMWx9IklvvLg%2FtPcFqBFxTnS83NmlLUjnrZlcWQbR9sT9hWCm343bzs4fYqychxpcipDO2%2BYnX4S22lqCnB2bafcV9G9dd0SIQp0eHiHoMsDulmh%2F2LwaI4wI1kypZX7uARysVCx%2BjTLxcpX157ZnNtK601Dh%2BxH6IEimg2HgfkzHebxHubblBJf%2FaAy78tE41BaQP0KV1TRxDwuLfCkeqsfySigjx0u1hwYwT7J1p8oPyHTWsI%2Bj9s083MLd9y7mF6hRfQcVWJus%2BPiZ3F5s82OYNCvzgYYEiEj8MZJvVGVolqYX7fm60kHzoE1v7MODTSxctuWn2uS%2Bq5zvX1T2aJPm0%2BVW5ZUy4dlZNpiIJh%2FU1AHU75wfHjCdQINPMl0w1db0uwY6sgHbneRk1rzfYHRZEcTXvk6r0WEH1D7vicj8DUliYsMz0KiXCjctd8NBTt3QKWXuRg8ezpsjNnpaTc2rdPRBOFbBGZiC9C27fPQfFX3bIQOtHg22S1OlS7xnXzl8L2zLDjGWpQ2rQLxZlKvTKOetrCJ0bAmaUQZ%2F1SOddJy82PQQGkXuGuv8BGcX8haCOdN%2F7KFhvLq259B4IMDFV%2FFtDdTZ%2FDQx1HDeckxR2b1zo8Ua9oYc&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250107T144844Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY4XBHDU5E%2F20250107%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=edbb9cc3d813369400ff81cf591617d36a2787afdd3f1d062323cb75e99a6b6c&hash=a2bd9cf96d3f2baca4513b6ba642468ef90722c23b27e7d838f6c66226b25901&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1568494624009360&tid=spdf-e9c0dabd-56d1-4ed8-8469-ed407edb6140&sid=ccaa471015b9c34b2c9a85b4f70dd3a96a3agxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=04125e0203560c555202&rr=8fe4c01a9abe6d42&cc=br	
CLTC-RoBERTa=Large			1	24	81.83	88.92	93.52	89.88	88.94	0.00	92.36	76.47	0.00	87.42	Contrastive Learning with Transformer Initialization and Clustering Prior for Text Representation	https://pdf.sciencedirectassets.com/272229/1-s2.0-S1568494624X00150/1-s2.0-S1568494624009360/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHYaCXVzLWVhc3QtMSJGMEQCIEt6YbTt65ukKfTD3bu0kD705kuMYotz8gH0y7JjH8PJAiAEr557NOLDnxNIr7FcHO9eFgXM99FsYPWXZ07TG7bc5yqzBQhfEAUaDDA1OTAwMzU0Njg2NSIMDxZIcdb6ZQ%2FZeUVkKpAF8MiOfNC9fUorVMiLkFp5l7ZbqlXZiS%2BFLNIV8TA0Hw%2FezqUgN1LqtHhjjrOZcARLECIAVv8LKA955vX%2BMSRK564pOJSF6%2FNkQOSEpiODriMyex2RUubgBahKySP%2BOKrBkZWrIm7cRqVBArRPrjgUJNZiOrzdjyxzs6hIfF3PApo8egsTnEvwIGZdfVHvOGgFZFnovHjMGXn%2BI%2FR8rnpxDXt7yk2V7OncGyRt%2F5lY%2F02yAO%2F1%2FqT5JGT5abPaw3NzUUTIBi9IXH5G4%2FFc2XyjvZaXS%2BpuF9EBC90xtWNssoOda%2FbNDjDp8m6jfGDv%2B3bwlKDHO4WS8zBv9JOpVEI9nsb3OuUjsKs%2BzVN1kxdcx6koalu2N81BXL6YATMbJ6LldHsxxIbwPN9Tpg8Tyxl0GCSRI12KZaUlaglbMg1lbnzUmaC4OXz3vPwModQvO0RSHaYblAOeyEkJXQpwNWdvXePBmqzmn5VnvOjkQmg7iOMPMWx9IklvvLg%2FtPcFqBFxTnS83NmlLUjnrZlcWQbR9sT9hWCm343bzs4fYqychxpcipDO2%2BYnX4S22lqCnB2bafcV9G9dd0SIQp0eHiHoMsDulmh%2F2LwaI4wI1kypZX7uARysVCx%2BjTLxcpX157ZnNtK601Dh%2BxH6IEimg2HgfkzHebxHubblBJf%2FaAy78tE41BaQP0KV1TRxDwuLfCkeqsfySigjx0u1hwYwT7J1p8oPyHTWsI%2Bj9s083MLd9y7mF6hRfQcVWJus%2BPiZ3F5s82OYNCvzgYYEiEj8MZJvVGVolqYX7fm60kHzoE1v7MODTSxctuWn2uS%2Bq5zvX1T2aJPm0%2BVW5ZUy4dlZNpiIJh%2FU1AHU75wfHjCdQINPMl0w1db0uwY6sgHbneRk1rzfYHRZEcTXvk6r0WEH1D7vicj8DUliYsMz0KiXCjctd8NBTt3QKWXuRg8ezpsjNnpaTc2rdPRBOFbBGZiC9C27fPQfFX3bIQOtHg22S1OlS7xnXzl8L2zLDjGWpQ2rQLxZlKvTKOetrCJ0bAmaUQZ%2F1SOddJy82PQQGkXuGuv8BGcX8haCOdN%2F7KFhvLq259B4IMDFV%2FFtDdTZ%2FDQx1HDeckxR2b1zo8Ua9oYc&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250107T144844Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY4XBHDU5E%2F20250107%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=edbb9cc3d813369400ff81cf591617d36a2787afdd3f1d062323cb75e99a6b6c&hash=a2bd9cf96d3f2baca4513b6ba642468ef90722c23b27e7d838f6c66226b25901&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1568494624009360&tid=spdf-e9c0dabd-56d1-4ed8-8469-ed407edb6140&sid=ccaa471015b9c34b2c9a85b4f70dd3a96a3agxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=04125e0203560c555202&rr=8fe4c01a9abe6d42&cc=br	
HNCSE-PM (bert-large)	cls	encoder-only	1	24	84.91	89.32	95.00	90.02	89.68	0.00	86.85	75.49	0.00	87.32	HNCSE: Advancing Sentence Embeddings via Hybrid Contrastive Learning with Hard Negatives	https://arxiv.org/pdf/2411.12156	2024
HNCSE-HNM (bert-large)	cls	encoder-only	1	24	85.89	90.57	96.06	89.91	89.91	0.00	85.91	76.47	0.00	87.82	HNCSE: Advancing Sentence Embeddings via Hybrid Contrastive Learning with Hard Negatives	https://arxiv.org/pdf/2411.12156	2024
