Modelo;Pooling;AGG;LAYER;out_vec_size;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg;Nhid;Epochs;qtd_layers;paper_name;paper_link;year
bert-base;CLS_LYR-7;CLS;LYR-7;torch.Size([768]);73,59;73,17;93,29;86,36;81,93;77,80;69,33;79,35;nan;nan;nan;nan;nan;nan
bert-base;AVG_LYR-7;AVG;LYR-7;torch.Size([768]);77,87;80,45;94,13;87,94;83,36;91,00;74,61;84,19;nan;nan;nan;nan;nan;nan
bert-base;SUM_LYR-7;SUM;LYR-7;torch.Size([768]);74,82;79,76;92,72;87,57;83,25;89,80;64,70;81,80;nan;nan;nan;nan;nan;nan
bert-base;MAX_LYR-7;MAX;LYR-7;torch.Size([768]);72,92;68,77;91,33;86,98;79,68;86,60;67,77;79,15;nan;nan;nan;nan;nan;nan
bert-base;AVG-NS_LYR-7;AVG-NS;LYR-7;torch.Size([768]);77,86;80,93;93,83;88,51;83,03;91,00;73,80;84,14;nan;nan;nan;nan;nan;nan
bert-base;SUM-NS_LYR-7;SUM-NS;LYR-7;torch.Size([768]);75,87;79,63;92,55;87,33;83,03;89,80;64,06;81,75;nan;nan;nan;nan;nan;nan
bert-base;MAX-NS_LYR-7;MAX-NS;LYR-7;torch.Size([768]);72,84;72,08;91,15;87,44;80,12;86,60;67,94;79,74;nan;nan;nan;nan;nan;nan
bert-base;CLS+AVG_LYR-7;CLS+AVG;LYR-7;torch.Size([1536]);78,61;79,39;94,45;88,78;83,91;91,20;74,84;84,45;nan;nan;nan;nan;nan;nan
bert-base;CLS+SUM_LYR-7;CLS+SUM;LYR-7;torch.Size([1536]);76,08;79,79;92,94;88,36;83,42;91,40;67,88;82,84;nan;nan;nan;nan;nan;nan
bert-base;CLS+MAX_LYR-7;CLS+MAX;LYR-7;torch.Size([1536]);76,39;77,17;93,16;87,95;83,25;92,40;69,74;82,87;nan;nan;nan;nan;nan;nan
