Unnamed: 0,Modelo,Pooling,AGG,LAYER,Epochs,out_vec_size,qtd_layers,Nhid,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg,epochs,SST5,Avg_with_SST5,Avg_without_SST5,paper_name,paper_link,year
0.0,allmini6,CLS_LYR-4,CLS,LYR-4,1.0,torch.Size([384]),6,0,60.34,63.76,78.0,68.77,63.43,21.0,66.49,60.25571428571429,,,,,,,
1.0,allmini6,AVG_LYR-4,AVG,LYR-4,1.0,torch.Size([384]),6,0,75.82,82.54,91.54,86.07,82.26,85.2,72.7,82.30428571428571,,,,,,,
2.0,allmini6,SUM_LYR-4,SUM,LYR-4,1.0,torch.Size([384]),6,0,74.67,80.69,91.48,86.84,81.55,91.4,69.22,82.26428571428573,,,,,,,
3.0,allmini6,MAX_LYR-4,MAX,LYR-4,1.0,torch.Size([384]),6,0,72.28,78.12,89.4,85.89,80.18,82.8,67.94,79.51571428571428,,,,,,,
4.0,allmini6,AVG-NS_LYR-4,AVG-NS,LYR-4,1.0,torch.Size([384]),6,0,75.89,82.6,91.51,86.08,82.98,85.4,72.64,82.44285714285715,,,,,,,
5.0,allmini6,SUM-NS_LYR-4,SUM-NS,LYR-4,1.0,torch.Size([384]),6,0,74.93,80.85,91.47,86.77,82.32,91.6,64.87,81.83,,,,,,,
6.0,allmini6,MAX-NS_LYR-4,MAX-NS,LYR-4,1.0,torch.Size([384]),6,0,72.34,76.98,89.09,85.45,79.9,83.2,72.23,79.88428571428571,,,,,,,
7.0,allmini6,CLS+AVG_LYR-4,CLS+AVG,LYR-4,1.0,torch.Size([768]),6,0,75.94,82.81,91.25,86.14,83.31,87.2,75.01,83.0942857142857,,,,,,,
8.0,allmini6,CLS+SUM_LYR-4,CLS+SUM,LYR-4,1.0,torch.Size([768]),6,0,75.42,83.42,92.56,87.02,82.15,93.8,66.55,82.98857142857142,,,,,,,
9.0,allmini6,CLS+MAX_LYR-4,CLS+MAX,LYR-4,1.0,torch.Size([768]),6,0,71.76,77.88,89.38,85.9,80.29,85.8,71.59,80.37142857142858,,,,,,,
10.0,allmini6,CLS+AVG-NS_LYR-4,CLS+AVG-NS,LYR-4,1.0,torch.Size([768]),6,0,76.02,82.78,91.21,86.39,82.98,87.0,75.13,83.07285714285715,,,,,,,
11.0,allmini6,CLS+SUM-NS_LYR-4,CLS+SUM-NS,LYR-4,1.0,torch.Size([768]),6,0,75.15,82.28,92.59,87.31,82.26,92.8,67.71,82.87142857142858,,,,,,,
12.0,allmini6,CLS+MAX-NS_LYR-4,CLS+MAX-NS,LYR-4,1.0,torch.Size([768]),6,0,72.86,77.8,89.59,86.34,79.9,84.6,72.75,80.54857142857144,,,,,,,
13.0,allmini6,CLS+AVG+AVG-NS_LYR-4,CLS+AVG+AVG-NS,LYR-4,1.0,torch.Size([1152]),6,0,76.09,83.42,91.98,87.41,82.1,90.4,74.9,83.75714285714285,,,,,,,
14.0,allmini6,CLS+AVG+SUM-NS_LYR-4,CLS+AVG+SUM-NS,LYR-4,1.0,torch.Size([1152]),6,0,75.86,83.07,92.61,87.36,82.7,92.4,65.45,82.77857142857144,,,,,,,
15.0,allmini6,CLS+AVG+MAX-NS_LYR-4,CLS+AVG+MAX-NS,LYR-4,1.0,torch.Size([1152]),6,0,75.32,82.15,91.37,87.43,83.09,92.2,72.87,83.49000000000001,,,,,,,
16.0,allmini6,CLS+SUM+AVG-NS_LYR-4,CLS+SUM+AVG-NS,LYR-4,1.0,torch.Size([1152]),6,0,75.57,83.44,92.65,87.33,83.03,93.0,68.99,83.42999999999999,,,,,,,
17.0,allmini6,CLS+SUM+SUM-NS_LYR-4,CLS+SUM+SUM-NS,LYR-4,1.0,torch.Size([1152]),6,0,75.13,82.89,92.51,86.96,82.76,92.2,67.36,82.83,,,,,,,
18.0,allmini6,CLS+SUM+MAX-NS_LYR-4,CLS+SUM+MAX-NS,LYR-4,1.0,torch.Size([1152]),6,0,74.56,82.97,92.18,87.41,82.81,93.0,68.81,83.10571428571428,,,,,,,
19.0,allmini6,CLS+MAX+AVG-NS_LYR-4,CLS+MAX+AVG-NS,LYR-4,1.0,torch.Size([1152]),6,0,75.93,82.84,91.63,87.51,82.65,91.8,73.16,83.64571428571428,,,,,,,
20.0,allmini6,CLS+MAX+SUM-NS_LYR-4,CLS+MAX+SUM-NS,LYR-4,1.0,torch.Size([1152]),6,0,75.85,83.23,92.4,87.1,82.87,93.2,62.14,82.39857142857143,,,,,,,
21.0,allmini6,CLS+MAX+MAX-NS_LYR-4,CLS+MAX+MAX-NS,LYR-4,1.0,torch.Size([1152]),6,0,73.36,78.12,89.8,86.08,80.01,90.2,70.84,81.20142857142856,,,,,,,
22.0,allmini6,CLS_LYR-5,CLS,LYR-5,1.0,torch.Size([384]),6,0,63.82,63.76,81.94,68.77,71.11,45.0,66.49,65.84142857142857,,,,,,,
23.0,allmini6,AVG_LYR-5,AVG,LYR-5,1.0,torch.Size([384]),6,0,75.5,78.65,90.98,86.88,81.38,84.6,72.12,81.44428571428571,,,,,,,
24.0,allmini6,SUM_LYR-5,SUM,LYR-5,1.0,torch.Size([384]),6,0,75.59,78.01,92.04,86.69,81.93,90.8,66.43,81.64142857142858,,,,,,,
25.0,allmini6,MAX_LYR-5,MAX,LYR-5,1.0,torch.Size([384]),6,0,73.23,75.5,88.87,86.12,80.45,77.0,69.97,78.73428571428572,,,,,,,
26.0,allmini6,AVG-NS_LYR-5,AVG-NS,LYR-5,1.0,torch.Size([384]),6,0,75.5,79.55,90.89,86.8,81.55,87.6,72.17,82.00857142857141,,,,,,,
27.0,allmini6,SUM-NS_LYR-5,SUM-NS,LYR-5,1.0,torch.Size([384]),6,0,74.72,78.07,91.95,86.84,81.93,91.4,66.38,81.61285714285715,,,,,,,
28.0,allmini6,MAX-NS_LYR-5,MAX-NS,LYR-5,1.0,torch.Size([384]),6,0,72.86,76.03,88.69,86.74,77.87,77.8,71.07,78.72285714285714,,,,,,,
29.0,allmini6,CLS+AVG_LYR-5,CLS+AVG,LYR-5,1.0,torch.Size([768]),6,0,75.57,80.45,90.57,86.52,82.65,85.4,73.45,82.08714285714287,,,,,,,
30.0,allmini6,CLS+SUM_LYR-5,CLS+SUM,LYR-5,1.0,torch.Size([768]),6,0,75.63,82.57,92.36,86.52,82.1,91.8,64.99,82.28142857142856,,,,,,,
31.0,allmini6,CLS+MAX_LYR-5,CLS+MAX,LYR-5,1.0,torch.Size([768]),6,0,72.36,76.56,89.22,86.13,79.41,81.8,72.23,79.67285714285713,,,,,,,
32.0,allmini6,CLS+AVG-NS_LYR-5,CLS+AVG-NS,LYR-5,1.0,torch.Size([768]),6,0,75.57,80.48,91.0,86.83,82.76,85.2,73.74,82.22571428571428,,,,,,,
33.0,allmini6,CLS+SUM-NS_LYR-5,CLS+SUM-NS,LYR-5,1.0,torch.Size([768]),6,0,75.46,82.01,92.24,86.53,82.15,92.2,63.13,81.96000000000001,,,,,,,
34.0,allmini6,CLS+MAX-NS_LYR-5,CLS+MAX-NS,LYR-5,1.0,torch.Size([768]),6,0,72.58,78.44,89.19,86.5,79.63,78.8,72.52,79.66571428571429,,,,,,,
35.0,allmini6,CLS+AVG+AVG-NS_LYR-5,CLS+AVG+AVG-NS,LYR-5,1.0,torch.Size([1152]),6,0,76.36,82.36,91.93,87.3,82.92,90.2,73.1,83.45285714285714,,,,,,,
36.0,allmini6,CLS+AVG+SUM-NS_LYR-5,CLS+AVG+SUM-NS,LYR-5,1.0,torch.Size([1152]),6,0,76.44,82.33,92.53,87.39,82.48,92.0,69.91,83.29714285714286,,,,,,,
37.0,allmini6,CLS+AVG+MAX-NS_LYR-5,CLS+AVG+MAX-NS,LYR-5,1.0,torch.Size([1152]),6,0,75.65,80.11,91.35,87.72,82.59,89.6,72.46,82.78285714285714,,,,,,,
38.0,allmini6,CLS+SUM+AVG-NS_LYR-5,CLS+SUM+AVG-NS,LYR-5,1.0,torch.Size([1152]),6,0,76.02,81.17,92.53,87.59,81.33,91.6,69.51,82.82142857142857,,,,,,,
39.0,allmini6,CLS+SUM+SUM-NS_LYR-5,CLS+SUM+SUM-NS,LYR-5,1.0,torch.Size([1152]),6,0,75.92,82.06,92.53,87.02,81.71,92.2,69.16,82.94285714285715,,,,,,,
40.0,allmini6,CLS+SUM+MAX-NS_LYR-5,CLS+SUM+MAX-NS,LYR-5,1.0,torch.Size([1152]),6,0,75.48,81.54,92.12,87.36,82.15,92.0,63.88,82.07571428571428,,,,,,,
41.0,allmini6,CLS+MAX+AVG-NS_LYR-5,CLS+MAX+AVG-NS,LYR-5,1.0,torch.Size([1152]),6,0,75.9,81.11,91.5,87.82,82.15,89.0,72.75,82.89,,,,,,,
42.0,allmini6,CLS+MAX+SUM-NS_LYR-5,CLS+MAX+SUM-NS,LYR-5,1.0,torch.Size([1152]),6,0,76.43,81.14,92.45,87.46,82.43,92.2,71.71,83.40285714285714,,,,,,,
43.0,allmini6,CLS+MAX+MAX-NS_LYR-5,CLS+MAX+MAX-NS,LYR-5,1.0,torch.Size([1152]),6,0,73.47,78.28,89.78,86.75,80.56,85.2,72.7,80.96285714285715,,,,,,,
44.0,allmini6,CLS_LYR-6,CLS,LYR-6,1.0,torch.Size([384]),6,0,69.6,72.35,85.98,84.05,77.16,61.6,69.68,74.3457142857143,,,,,,,
45.0,allmini6,AVG_LYR-6,AVG,LYR-6,1.0,torch.Size([384]),6,0,74.59,76.87,90.53,87.04,81.49,85.6,71.42,81.07714285714285,,,,,,,
46.0,allmini6,SUM_LYR-6,SUM,LYR-6,1.0,torch.Size([384]),6,0,75.18,78.52,90.68,86.77,81.93,87.2,69.62,81.41428571428571,,,,,,,
47.0,allmini6,MAX_LYR-6,MAX,LYR-6,1.0,torch.Size([384]),6,0,71.11,74.52,86.89,85.6,77.65,81.2,70.49,78.20857142857142,,,,,,,
48.0,allmini6,AVG-NS_LYR-6,AVG-NS,LYR-6,1.0,torch.Size([384]),6,0,75.06,78.09,90.6,87.22,81.38,88.0,72.12,81.78142857142858,,,,,,,
49.0,allmini6,SUM-NS_LYR-6,SUM-NS,LYR-6,1.0,torch.Size([384]),6,0,75.37,78.7,90.77,86.67,82.15,87.8,64.06,80.78857142857143,,,,,,,
50.0,allmini6,MAX-NS_LYR-6,MAX-NS,LYR-6,1.0,torch.Size([384]),6,0,71.11,73.62,87.03,85.93,77.27,82.2,71.07,78.31857142857143,,,,,,,
51.0,allmini6,CLS+AVG_LYR-6,CLS+AVG,LYR-6,1.0,torch.Size([768]),6,0,74.82,78.52,90.57,87.4,81.93,87.6,71.13,81.71,,,,,,,
52.0,allmini6,CLS+SUM_LYR-6,CLS+SUM,LYR-6,1.0,torch.Size([768]),6,0,75.88,80.4,91.38,86.27,81.88,88.2,66.26,81.46714285714286,,,,,,,
53.0,allmini6,CLS+MAX_LYR-6,CLS+MAX,LYR-6,1.0,torch.Size([768]),6,0,72.19,76.66,88.58,86.92,78.69,84.0,73.45,80.07000000000001,,,,,,,
54.0,allmini6,CLS+AVG-NS_LYR-6,CLS+AVG-NS,LYR-6,1.0,torch.Size([768]),6,0,74.66,78.94,90.79,87.53,81.77,88.6,71.3,81.94142857142856,,,,,,,
55.0,allmini6,CLS+SUM-NS_LYR-6,CLS+SUM-NS,LYR-6,1.0,torch.Size([768]),6,0,76.06,81.03,91.74,86.93,81.71,89.4,66.9,81.96714285714286,,,,,,,
56.0,allmini6,CLS+MAX-NS_LYR-6,CLS+MAX-NS,LYR-6,1.0,torch.Size([768]),6,0,71.92,77.03,88.58,87.32,78.86,83.8,71.01,79.78857142857143,,,,,,,
57.0,allmini6,CLS+AVG+AVG-NS_LYR-6,CLS+AVG+AVG-NS,LYR-6,1.0,torch.Size([1152]),6,0,75.6,81.27,91.33,87.58,82.32,90.0,69.62,82.53142857142858,,,,,,,
58.0,allmini6,CLS+AVG+SUM-NS_LYR-6,CLS+AVG+SUM-NS,LYR-6,1.0,torch.Size([1152]),6,0,75.6,81.88,91.65,87.2,82.76,90.0,66.2,82.1842857142857,,,,,,,
59.0,allmini6,CLS+AVG+MAX-NS_LYR-6,CLS+AVG+MAX-NS,LYR-6,1.0,torch.Size([1152]),6,0,75.04,80.37,90.88,87.82,81.0,89.0,71.48,82.22714285714287,,,,,,,
60.0,allmini6,CLS+SUM+AVG-NS_LYR-6,CLS+SUM+AVG-NS,LYR-6,1.0,torch.Size([1152]),6,0,75.65,81.46,91.41,87.07,81.33,88.8,65.74,81.63714285714286,,,,,,,
61.0,allmini6,CLS+SUM+SUM-NS_LYR-6,CLS+SUM+SUM-NS,LYR-6,1.0,torch.Size([1152]),6,0,75.38,81.32,91.74,86.69,81.77,88.4,68.46,81.96571428571428,,,,,,,
62.0,allmini6,CLS+SUM+MAX-NS_LYR-6,CLS+SUM+MAX-NS,LYR-6,1.0,torch.Size([1152]),6,0,75.56,81.75,91.42,87.31,81.99,91.0,66.2,82.17571428571429,,,,,,,
63.0,allmini6,CLS+MAX+AVG-NS_LYR-6,CLS+MAX+AVG-NS,LYR-6,1.0,torch.Size([1152]),6,0,74.96,79.87,90.91,87.48,81.05,89.0,72.99,82.32285714285715,,,,,,,
64.0,allmini6,CLS+MAX+SUM-NS_LYR-6,CLS+MAX+SUM-NS,LYR-6,1.0,torch.Size([1152]),6,0,75.56,81.99,91.54,87.27,81.77,90.6,65.91,82.09142857142857,,,,,,,
65.0,allmini6,CLS+MAX+MAX-NS_LYR-6,CLS+MAX+MAX-NS,LYR-6,1.0,torch.Size([1152]),6,0,72.21,77.32,89.5,87.12,78.64,86.6,72.06,80.49285714285715,,,,,,,
66.0,allmini6,CLS_SUML4L,CLS,SUML4L,1.0,torch.Size([384]),6,0,68.71,71.26,85.23,82.86,77.38,63.2,66.96,73.65714285714286,,,,,,,
