Unnamed: 0;Modelo;Pooling;AGG;LAYER;Epochs;out_vec_size;qtd_layers;Nhid;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg;epochs;SST5;Avg_with_SST5;Avg_without_SST5;paper_name;paper_link;year
0,00;allmini6;CLS_LYR-4;CLS;LYR-4;1,00;torch.Size([384]);6,00;0,00;60,34;63,76;78,00;68,77;63,43;21,00;66,49;60,26;nan;nan;nan;nan;nan;nan;nan
1,00;allmini6;AVG_LYR-4;AVG;LYR-4;1,00;torch.Size([384]);6,00;0,00;75,82;82,54;91,54;86,07;82,26;85,20;72,70;82,30;nan;nan;nan;nan;nan;nan;nan
2,00;allmini6;SUM_LYR-4;SUM;LYR-4;1,00;torch.Size([384]);6,00;0,00;74,67;80,69;91,48;86,84;81,55;91,40;69,22;82,26;nan;nan;nan;nan;nan;nan;nan
3,00;allmini6;MAX_LYR-4;MAX;LYR-4;1,00;torch.Size([384]);6,00;0,00;72,28;78,12;89,40;85,89;80,18;82,80;67,94;79,52;nan;nan;nan;nan;nan;nan;nan
4,00;allmini6;AVG-NS_LYR-4;AVG-NS;LYR-4;1,00;torch.Size([384]);6,00;0,00;75,89;82,60;91,51;86,08;82,98;85,40;72,64;82,44;nan;nan;nan;nan;nan;nan;nan
5,00;allmini6;SUM-NS_LYR-4;SUM-NS;LYR-4;1,00;torch.Size([384]);6,00;0,00;74,93;80,85;91,47;86,77;82,32;91,60;64,87;81,83;nan;nan;nan;nan;nan;nan;nan
6,00;allmini6;MAX-NS_LYR-4;MAX-NS;LYR-4;1,00;torch.Size([384]);6,00;0,00;72,34;76,98;89,09;85,45;79,90;83,20;72,23;79,88;nan;nan;nan;nan;nan;nan;nan
7,00;allmini6;CLS+AVG_LYR-4;CLS+AVG;LYR-4;1,00;torch.Size([768]);6,00;0,00;75,94;82,81;91,25;86,14;83,31;87,20;75,01;83,09;nan;nan;nan;nan;nan;nan;nan
8,00;allmini6;CLS+SUM_LYR-4;CLS+SUM;LYR-4;1,00;torch.Size([768]);6,00;0,00;75,42;83,42;92,56;87,02;82,15;93,80;66,55;82,99;nan;nan;nan;nan;nan;nan;nan
9,00;allmini6;CLS+MAX_LYR-4;CLS+MAX;LYR-4;1,00;torch.Size([768]);6,00;0,00;71,76;77,88;89,38;85,90;80,29;85,80;71,59;80,37;nan;nan;nan;nan;nan;nan;nan
10,00;allmini6;CLS+AVG-NS_LYR-4;CLS+AVG-NS;LYR-4;1,00;torch.Size([768]);6,00;0,00;76,02;82,78;91,21;86,39;82,98;87,00;75,13;83,07;nan;nan;nan;nan;nan;nan;nan
11,00;allmini6;CLS+SUM-NS_LYR-4;CLS+SUM-NS;LYR-4;1,00;torch.Size([768]);6,00;0,00;75,15;82,28;92,59;87,31;82,26;92,80;67,71;82,87;nan;nan;nan;nan;nan;nan;nan
12,00;allmini6;CLS+MAX-NS_LYR-4;CLS+MAX-NS;LYR-4;1,00;torch.Size([768]);6,00;0,00;72,86;77,80;89,59;86,34;79,90;84,60;72,75;80,55;nan;nan;nan;nan;nan;nan;nan
13,00;allmini6;CLS+AVG+AVG-NS_LYR-4;CLS+AVG+AVG-NS;LYR-4;1,00;torch.Size([1152]);6,00;0,00;76,09;83,42;91,98;87,41;82,10;90,40;74,90;83,76;nan;nan;nan;nan;nan;nan;nan
14,00;allmini6;CLS+AVG+SUM-NS_LYR-4;CLS+AVG+SUM-NS;LYR-4;1,00;torch.Size([1152]);6,00;0,00;75,86;83,07;92,61;87,36;82,70;92,40;65,45;82,78;nan;nan;nan;nan;nan;nan;nan
15,00;allmini6;CLS+AVG+MAX-NS_LYR-4;CLS+AVG+MAX-NS;LYR-4;1,00;torch.Size([1152]);6,00;0,00;75,32;82,15;91,37;87,43;83,09;92,20;72,87;83,49;nan;nan;nan;nan;nan;nan;nan
16,00;allmini6;CLS+SUM+AVG-NS_LYR-4;CLS+SUM+AVG-NS;LYR-4;1,00;torch.Size([1152]);6,00;0,00;75,57;83,44;92,65;87,33;83,03;93,00;68,99;83,43;nan;nan;nan;nan;nan;nan;nan
17,00;allmini6;CLS+SUM+SUM-NS_LYR-4;CLS+SUM+SUM-NS;LYR-4;1,00;torch.Size([1152]);6,00;0,00;75,13;82,89;92,51;86,96;82,76;92,20;67,36;82,83;nan;nan;nan;nan;nan;nan;nan
18,00;allmini6;CLS+SUM+MAX-NS_LYR-4;CLS+SUM+MAX-NS;LYR-4;1,00;torch.Size([1152]);6,00;0,00;74,56;82,97;92,18;87,41;82,81;93,00;68,81;83,11;nan;nan;nan;nan;nan;nan;nan
