,Modelo,Pooling,AGG,LAYER,Epochs,out_vec_size,qtd_layers,Nhid,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg
0,allmpnet,CLS+AVG_BEST,CLS+AVG,BEST,1,torch.Size([1536]),12,0,86.86,90.99,95.59,90.48,91.93,96.4,75.54,89.6842857142857
1,allmpnet,CLS+SUM_BEST,CLS+SUM,BEST,1,torch.Size([1536]),12,0,86.32,90.86,95.8,89.99,90.99,96.8,72.41,89.02428571428571
2,allmpnet,CLS+MAX_BEST,CLS+MAX,BEST,1,torch.Size([1536]),12,0,85.74,89.53,95.33,89.71,91.27,95.0,70.78,88.1942857142857
3,allmpnet,CLS+AVG-NS_BEST,CLS+AVG-NS,BEST,1,torch.Size([1536]),12,0,86.81,91.42,95.61,90.61,91.82,96.4,75.54,89.74428571428572
4,allmpnet,CLS+SUM-NS_BEST,CLS+SUM-NS,BEST,1,torch.Size([1536]),12,0,86.41,90.86,95.77,89.87,90.99,96.8,72.81,89.07285714285715
5,allmpnet,CLS+MAX-NS_BEST,CLS+MAX-NS,BEST,1,torch.Size([1536]),12,0,85.73,89.54,95.28,89.59,91.6,95.0,70.78,88.21714285714286
6,allmpnet,CLS+AVG+AVG-NS_BEST,CLS+AVG+AVG-NS,BEST,1,torch.Size([2304]),12,0,86.84,91.95,95.74,90.74,91.71,96.2,75.88,89.86571428571429
7,allmpnet,CLS+AVG+SUM-NS_BEST,CLS+AVG+SUM-NS,BEST,1,torch.Size([2304]),12,0,86.67,91.31,95.88,90.52,91.43,96.6,72.58,89.28428571428572
8,allmpnet,CLS+AVG+MAX-NS_BEST,CLS+AVG+MAX-NS,BEST,1,torch.Size([2304]),12,0,86.7,91.26,95.68,90.49,92.04,96.2,73.04,89.3442857142857
9,allmpnet,CLS+SUM+AVG-NS_BEST,CLS+SUM+AVG-NS,BEST,1,torch.Size([2304]),12,0,86.14,91.1,95.9,90.62,91.43,96.0,73.86,89.29285714285716
10,allmpnet,CLS+SUM+SUM-NS_BEST,CLS+SUM+SUM-NS,BEST,1,torch.Size([2304]),12,0,86.14,91.34,95.61,90.18,91.76,96.6,73.28,89.27285714285713
11,allmpnet,CLS+SUM+MAX-NS_BEST,CLS+SUM+MAX-NS,BEST,1,torch.Size([2304]),12,0,86.27,90.01,95.71,90.29,91.76,96.8,71.59,88.91857142857144
12,allmpnet,CLS+MAX+AVG-NS_BEST,CLS+MAX+AVG-NS,BEST,1,torch.Size([2304]),12,0,86.41,91.2,94.73,90.1,91.6,95.6,74.2,89.12000000000002
13,allmpnet,CLS+MAX+SUM-NS_BEST,CLS+MAX+SUM-NS,BEST,1,torch.Size([2304]),12,0,86.19,90.97,95.7,90.27,91.65,96.4,73.04,89.1742857142857
14,allmpnet,CLS+MAX+MAX-NS_BEST,CLS+MAX+MAX-NS,BEST,1,torch.Size([2304]),12,0,85.44,88.98,94.74,89.51,91.05,96.0,73.33,88.4357142857143
