,Modelo,Pooling,AGG,LAYER,Epochs,out_vec_size,qtd_layers,Nhid,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg
0,allmpnet,CLS+AVG_BEST,CLS+AVG,BEST,1,torch.Size([1536]),12,0,87.07,92.19,96.06,90.84,91.74,90.77,77.18,89.40714285714284
1,allmpnet,CLS+SUM_BEST,CLS+SUM,BEST,1,torch.Size([1536]),12,0,86.57,91.86,96.07,90.56,91.17,90.85,70.71,88.25571428571429
2,allmpnet,CLS+MAX_BEST,CLS+MAX,BEST,1,torch.Size([1536]),12,0,86.01,90.68,95.56,89.81,89.91,89.16,70.26,87.34142857142857
3,allmpnet,CLS+AVG-NS_BEST,CLS+AVG-NS,BEST,1,torch.Size([1536]),12,0,87.06,92.22,96.08,90.91,91.74,91.01,76.89,89.41571428571429
4,allmpnet,CLS+SUM-NS_BEST,CLS+SUM-NS,BEST,1,torch.Size([1536]),12,0,86.59,91.85,96.07,90.54,91.06,90.87,70.34,88.18857142857144
5,allmpnet,CLS+MAX-NS_BEST,CLS+MAX-NS,BEST,1,torch.Size([1536]),12,0,86.03,90.65,95.58,89.84,89.91,89.21,70.29,87.35857142857142
6,allmpnet,CLS+AVG+AVG-NS_BEST,CLS+AVG+AVG-NS,BEST,1,torch.Size([2304]),12,0,87.13,92.22,96.13,90.9,91.63,91.49,77.43,89.56142857142858
7,allmpnet,CLS+AVG+SUM-NS_BEST,CLS+AVG+SUM-NS,BEST,1,torch.Size([2304]),12,0,86.8,91.94,96.24,90.91,91.63,91.23,72.64,88.77
8,allmpnet,CLS+AVG+MAX-NS_BEST,CLS+AVG+MAX-NS,BEST,1,torch.Size([2304]),12,0,86.91,92.09,95.95,90.81,91.06,90.92,76.3,89.14857142857143
9,allmpnet,CLS+SUM+AVG-NS_BEST,CLS+SUM+AVG-NS,BEST,1,torch.Size([2304]),12,0,86.78,91.88,96.23,90.89,91.74,91.31,74.41,89.0342857142857
10,allmpnet,CLS+SUM+SUM-NS_BEST,CLS+SUM+SUM-NS,BEST,1,torch.Size([2304]),12,0,86.42,91.69,96.05,90.7,90.71,91.07,72.6,88.46285714285715
11,allmpnet,CLS+SUM+MAX-NS_BEST,CLS+SUM+MAX-NS,BEST,1,torch.Size([2304]),12,0,86.55,91.8,96.06,90.6,90.83,91.01,73.82,88.66714285714286
12,allmpnet,CLS+MAX+AVG-NS_BEST,CLS+MAX+AVG-NS,BEST,1,torch.Size([2304]),12,0,86.87,92.17,95.98,90.87,91.28,91.03,75.59,89.11285714285715
13,allmpnet,CLS+MAX+SUM-NS_BEST,CLS+MAX+SUM-NS,BEST,1,torch.Size([2304]),12,0,86.58,91.89,96.0,90.63,91.4,91.14,73.11,88.67857142857143
14,allmpnet,CLS+MAX+MAX-NS_BEST,CLS+MAX+MAX-NS,BEST,1,torch.Size([2304]),12,0,85.84,90.73,95.38,89.91,90.02,89.58,73.5,87.85142857142857
