Modelo,Pooling,Epochs,out_vec_size,qtd_layers,Nhid,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS+AVG_BEST,1,torch.Size([1536]),12,0,"{'devacc': np.float64(87.07), 'acc': np.float64(86.86), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.19), 'acc': np.float64(90.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(95.59), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.84), 'acc': np.float64(90.48), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 91.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.77), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(77.18), 'acc': 75.54, 'f1': 83.29, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+SUM_BEST,1,torch.Size([1536]),12,0,"{'devacc': np.float64(86.57), 'acc': np.float64(86.32), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.86), 'acc': np.float64(90.86), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(95.8), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.56), 'acc': np.float64(89.99), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.17), 'acc': 90.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.85), 'acc': 96.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.71), 'acc': 72.41, 'f1': 80.4, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+MAX_BEST,1,torch.Size([1536]),12,0,"{'devacc': np.float64(86.01), 'acc': np.float64(85.74), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.68), 'acc': np.float64(89.53), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.56), 'acc': np.float64(95.33), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.81), 'acc': np.float64(89.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.91), 'acc': 91.27, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.16), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.26), 'acc': 70.78, 'f1': 78.55, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_BEST,1,torch.Size([1536]),12,0,"{'devacc': np.float64(87.06), 'acc': np.float64(86.81), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.22), 'acc': np.float64(91.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.08), 'acc': np.float64(95.61), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.91), 'acc': np.float64(90.61), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 91.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.01), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.89), 'acc': 75.54, 'f1': 83.36, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+SUM-NS_BEST,1,torch.Size([1536]),12,0,"{'devacc': np.float64(86.59), 'acc': np.float64(86.41), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.85), 'acc': np.float64(90.86), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(95.77), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.54), 'acc': np.float64(89.87), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.06), 'acc': 90.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.87), 'acc': 96.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.34), 'acc': 72.81, 'f1': 80.69, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+MAX-NS_BEST,1,torch.Size([1536]),12,0,"{'devacc': np.float64(86.03), 'acc': np.float64(85.73), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.65), 'acc': np.float64(89.54), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.58), 'acc': np.float64(95.28), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.84), 'acc': np.float64(89.59), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.91), 'acc': 91.6, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.21), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.29), 'acc': 70.78, 'f1': 78.55, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+AVG-NS_BEST,1,torch.Size([2304]),12,0,"{'devacc': np.float64(87.13), 'acc': np.float64(86.84), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.22), 'acc': np.float64(91.95), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.13), 'acc': np.float64(95.74), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.9), 'acc': np.float64(90.74), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 91.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.49), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(77.43), 'acc': 75.88, 'f1': 83.29, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+SUM-NS_BEST,1,torch.Size([2304]),12,0,"{'devacc': np.float64(86.8), 'acc': np.float64(86.67), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.94), 'acc': np.float64(91.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.24), 'acc': np.float64(95.88), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.91), 'acc': np.float64(90.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 91.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.23), 'acc': 96.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.64), 'acc': 72.58, 'f1': 81.28, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+MAX-NS_BEST,1,torch.Size([2304]),12,0,"{'devacc': np.float64(86.91), 'acc': np.float64(86.7), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.09), 'acc': np.float64(91.26), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.95), 'acc': np.float64(95.68), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.81), 'acc': np.float64(90.49), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.06), 'acc': 92.04, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.92), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.3), 'acc': 73.04, 'f1': 81.45, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+SUM+AVG-NS_BEST,1,torch.Size([2304]),12,0,"{'devacc': np.float64(86.78), 'acc': np.float64(86.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.88), 'acc': np.float64(91.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.23), 'acc': np.float64(95.9), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.89), 'acc': np.float64(90.62), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 91.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.31), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.41), 'acc': 73.86, 'f1': 81.75, 'ndev': 4076, 'ntest': 1725}"
