,Modelo,Pooling,AGG,LAYER,Epochs,out_vec_size,qtd_layers,Nhid,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg
0,deberta-base,CLS+AVG_BEST,CLS+AVG,BEST,1,torch.Size([1536]),12,0,86.79,90.31,94.92,90.21,92.75,94.8,74.84,89.23142857142857
1,deberta-base,CLS+SUM_BEST,CLS+SUM,BEST,1,torch.Size([1536]),12,0,86.87,89.22,95.38,89.08,92.42,95.4,68.75,88.16
2,deberta-base,CLS+MAX_BEST,CLS+MAX,BEST,1,torch.Size([1536]),12,0,84.13,81.38,92.46,88.6,89.29,88.2,71.48,85.07714285714285
3,deberta-base,CLS+AVG-NS_BEST,CLS+AVG-NS,BEST,1,torch.Size([1536]),12,0,87.29,90.25,95.08,90.43,92.48,95.2,75.77,89.5
4,deberta-base,CLS+SUM-NS_BEST,CLS+SUM-NS,BEST,1,torch.Size([1536]),12,0,86.85,89.85,95.37,89.63,92.92,95.6,68.41,88.37571428571428
5,deberta-base,CLS+MAX-NS_BEST,CLS+MAX-NS,BEST,1,torch.Size([1536]),12,0,84.35,82.6,92.73,88.91,90.99,88.8,70.32,85.52857142857144
6,deberta-base,CLS+AVG+AVG-NS_BEST,CLS+AVG+AVG-NS,BEST,1,torch.Size([2304]),12,0,87.61,90.81,95.26,90.42,92.59,95.6,75.54,89.69000000000001
7,deberta-base,CLS+AVG+SUM-NS_BEST,CLS+AVG+SUM-NS,BEST,1,torch.Size([2304]),12,0,87.42,90.89,95.2,90.1,92.37,96.4,69.45,88.83285714285715
8,deberta-base,CLS+AVG+MAX-NS_BEST,CLS+AVG+MAX-NS,BEST,1,torch.Size([2304]),12,0,86.81,90.25,94.91,90.47,92.64,95.0,77.04,89.58857142857143
9,deberta-base,CLS+SUM+AVG-NS_BEST,CLS+SUM+AVG-NS,BEST,1,torch.Size([2304]),12,0,87.22,90.41,95.17,90.22,92.86,96.2,72.23,89.18714285714286
10,deberta-base,CLS+SUM+SUM-NS_BEST,CLS+SUM+SUM-NS,BEST,1,torch.Size([2304]),12,0,86.65,90.28,95.21,89.72,92.09,96.2,67.83,88.28285714285717
11,deberta-base,CLS+SUM+MAX-NS_BEST,CLS+SUM+MAX-NS,BEST,1,torch.Size([2304]),12,0,86.44,90.46,95.33,89.58,92.48,96.4,72.35,89.00571428571428
12,deberta-base,CLS+MAX+AVG-NS_BEST,CLS+MAX+AVG-NS,BEST,1,torch.Size([2304]),12,0,87.04,89.17,94.81,90.67,92.86,95.2,75.19,89.27714285714286
13,deberta-base,CLS+MAX+SUM-NS_BEST,CLS+MAX+SUM-NS,BEST,1,torch.Size([2304]),12,0,87.33,90.83,95.03,89.83,92.7,94.8,69.28,88.54285714285713
14,deberta-base,CLS+MAX+MAX-NS_BEST,CLS+MAX+MAX-NS,BEST,1,torch.Size([2304]),12,0,85.27,81.09,93.35,89.54,91.38,92.4,72.99,86.57428571428572
