,Modelo,Pooling,AGG,LAYER,Epochs,out_vec_size,qtd_layers,Nhid,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg
0,deberta-base,CLS+AVG_BEST,CLS+AVG,BEST,1,torch.Size([1536]),12,0,87.86,91.36,96.03,90.55,92.09,86.17,75.81,88.55285714285712
1,deberta-base,CLS+SUM_BEST,CLS+SUM,BEST,1,torch.Size([1536]),12,0,87.39,91.38,95.93,89.89,92.89,86.52,69.63,87.66142857142857
2,deberta-base,CLS+MAX_BEST,CLS+MAX,BEST,1,torch.Size([1536]),12,0,84.22,77.9,93.36,88.6,88.88,79.42,72.15,83.50428571428571
3,deberta-base,CLS+AVG-NS_BEST,CLS+AVG-NS,BEST,1,torch.Size([1536]),12,0,87.89,91.42,96.05,90.96,92.09,86.19,75.83,88.63285714285713
4,deberta-base,CLS+SUM-NS_BEST,CLS+SUM-NS,BEST,1,torch.Size([1536]),12,0,87.34,91.36,95.95,90.08,92.78,86.37,69.09,87.56714285714285
5,deberta-base,CLS+MAX-NS_BEST,CLS+MAX-NS,BEST,1,torch.Size([1536]),12,0,84.68,76.94,93.56,88.99,89.22,77.57,71.34,83.18571428571428
6,deberta-base,CLS+AVG+AVG-NS_BEST,CLS+AVG+AVG-NS,BEST,1,torch.Size([2304]),12,0,88.07,91.82,96.15,90.89,92.09,87.23,76.74,88.99857142857142
7,deberta-base,CLS+AVG+SUM-NS_BEST,CLS+AVG+SUM-NS,BEST,1,torch.Size([2304]),12,0,87.77,91.71,96.03,90.59,92.89,87.42,72.69,88.44285714285714
8,deberta-base,CLS+AVG+MAX-NS_BEST,CLS+AVG+MAX-NS,BEST,1,torch.Size([2304]),12,0,87.8,91.04,95.94,90.74,92.55,86.76,76.35,88.74000000000001
9,deberta-base,CLS+SUM+AVG-NS_BEST,CLS+SUM+AVG-NS,BEST,1,torch.Size([2304]),12,0,87.6,91.82,96.12,90.84,93.0,87.11,73.28,88.53857142857143
10,deberta-base,CLS+SUM+SUM-NS_BEST,CLS+SUM+SUM-NS,BEST,1,torch.Size([2304]),12,0,87.37,91.46,95.81,90.13,92.55,87.01,73.31,88.23428571428573
11,deberta-base,CLS+SUM+MAX-NS_BEST,CLS+SUM+MAX-NS,BEST,1,torch.Size([2304]),12,0,87.5,91.4,96.0,90.17,92.78,87.14,73.26,88.32142857142857
12,deberta-base,CLS+MAX+AVG-NS_BEST,CLS+MAX+AVG-NS,BEST,1,torch.Size([2304]),12,0,87.87,90.98,95.88,90.89,91.74,86.98,76.96,88.75714285714287
13,deberta-base,CLS+MAX+SUM-NS_BEST,CLS+MAX+SUM-NS,BEST,1,torch.Size([2304]),12,0,87.69,91.65,95.9,90.19,92.89,87.25,72.01,88.22571428571428
14,deberta-base,CLS+MAX+MAX-NS_BEST,CLS+MAX+MAX-NS,BEST,1,torch.Size([2304]),12,0,85.26,78.15,93.73,89.59,89.11,82.65,73.53,84.57428571428571
