Modelo,Pooling,AGG,LAYER,out_vec_size,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg
bert-base,CLS_LYR-7,CLS,LYR-7,torch.Size([768]),73.59,73.17,93.29,86.36,81.93,77.8,69.33,79.35285714285715
bert-base,AVG_LYR-7,AVG,LYR-7,torch.Size([768]),77.87,80.45,94.13,87.94,83.36,91.0,74.61,84.19428571428571
bert-base,SUM_LYR-7,SUM,LYR-7,torch.Size([768]),74.82,79.76,92.72,87.57,83.25,89.8,64.7,81.80285714285715
bert-base,MAX_LYR-7,MAX,LYR-7,torch.Size([768]),72.92,68.77,91.33,86.98,79.68,86.6,67.77,79.14999999999999
bert-base,AVG-NS_LYR-7,AVG-NS,LYR-7,torch.Size([768]),77.86,80.93,93.83,88.51,83.03,91.0,73.8,84.13714285714285
bert-base,SUM-NS_LYR-7,SUM-NS,LYR-7,torch.Size([768]),75.87,79.63,92.55,87.33,83.03,89.8,64.06,81.75285714285714
bert-base,MAX-NS_LYR-7,MAX-NS,LYR-7,torch.Size([768]),72.84,72.08,91.15,87.44,80.12,86.6,67.94,79.73857142857143
bert-base,CLS+AVG_LYR-7,CLS+AVG,LYR-7,torch.Size([1536]),78.61,79.39,94.45,88.78,83.91,91.2,74.84,84.45428571428572
bert-base,CLS+SUM_LYR-7,CLS+SUM,LYR-7,torch.Size([1536]),76.08,79.79,92.94,88.36,83.42,91.4,67.88,82.83857142857143
bert-base,CLS+MAX_LYR-7,CLS+MAX,LYR-7,torch.Size([1536]),76.39,77.17,93.16,87.95,83.25,92.4,69.74,82.86571428571429
bert-base,CLS+AVG-NS_LYR-7,CLS+AVG-NS,LYR-7,torch.Size([1536]),78.99,80.05,94.37,89.0,85.28,91.0,74.26,84.70714285714284
bert-base,CLS+SUM-NS_LYR-7,CLS+SUM-NS,LYR-7,torch.Size([1536]),75.03,79.68,93.01,88.44,82.65,91.0,68.75,82.65142857142858
bert-base,CLS+MAX-NS_LYR-7,CLS+MAX-NS,LYR-7,torch.Size([1536]),76.34,77.14,93.06,88.48,83.14,91.2,69.91,82.75285714285714
bert-base,DY3_LYR-7,DY3,LYR-7,torch.Size([2304]),79.15,81.16,94.58,89.03,80.72,91.8,68.29,83.53285714285713
bert-base,DY3-NS_LYR-7,DY3-NS,LYR-7,torch.Size([2304]),78.68,80.87,94.5,88.57,80.94,92.0,67.54,83.29999999999998
