Modelo,Pooling,Epochs,out_vec_size,qtd_layers,Nhid,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS+AVG_BEST,1,torch.Size([1536]),12,0,"{'devacc': np.float64(87.86), 'acc': np.float64(86.79), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.36), 'acc': np.float64(90.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.03), 'acc': np.float64(94.92), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.55), 'acc': np.float64(90.21), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(92.09), 'acc': 92.75, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.17), 'acc': 94.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.81), 'acc': 74.84, 'f1': 83.18, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM_BEST,1,torch.Size([1536]),12,0,"{'devacc': np.float64(87.39), 'acc': np.float64(86.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.38), 'acc': np.float64(89.22), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.93), 'acc': np.float64(95.38), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.89), 'acc': np.float64(89.08), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(92.89), 'acc': 92.42, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.52), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.63), 'acc': 68.75, 'f1': 77.0, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+MAX_BEST,1,torch.Size([1536]),12,0,"{'devacc': np.float64(84.22), 'acc': np.float64(84.13), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.9), 'acc': np.float64(81.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.36), 'acc': np.float64(92.46), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.6), 'acc': np.float64(88.6), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.88), 'acc': 89.29, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(79.42), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.15), 'acc': 71.48, 'f1': 81.49, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_BEST,1,torch.Size([1536]),12,0,"{'devacc': np.float64(87.89), 'acc': np.float64(87.29), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.42), 'acc': np.float64(90.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.05), 'acc': np.float64(95.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.96), 'acc': np.float64(90.43), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(92.09), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.19), 'acc': 95.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.83), 'acc': 75.77, 'f1': 83.43, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM-NS_BEST,1,torch.Size([1536]),12,0,"{'devacc': np.float64(87.34), 'acc': np.float64(86.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.36), 'acc': np.float64(89.85), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.95), 'acc': np.float64(95.37), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.08), 'acc': np.float64(89.63), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(92.78), 'acc': 92.92, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.37), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.09), 'acc': 68.41, 'f1': 80.25, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+MAX-NS_BEST,1,torch.Size([1536]),12,0,"{'devacc': np.float64(84.68), 'acc': np.float64(84.35), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.94), 'acc': np.float64(82.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.56), 'acc': np.float64(92.73), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.99), 'acc': np.float64(88.91), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.22), 'acc': 90.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(77.57), 'acc': 88.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.34), 'acc': 70.32, 'f1': 78.23, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_BEST,1,torch.Size([2304]),12,0,"{'devacc': np.float64(88.07), 'acc': np.float64(87.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.82), 'acc': np.float64(90.81), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.15), 'acc': np.float64(95.26), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.89), 'acc': np.float64(90.42), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(92.09), 'acc': 92.59, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.23), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.74), 'acc': 75.54, 'f1': 81.09, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+SUM-NS_BEST,1,torch.Size([2304]),12,0,"{'devacc': np.float64(87.77), 'acc': np.float64(87.42), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.71), 'acc': np.float64(90.89), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.03), 'acc': np.float64(95.2), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.59), 'acc': np.float64(90.1), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(92.89), 'acc': 92.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.42), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.69), 'acc': 69.45, 'f1': 75.57, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+MAX-NS_BEST,1,torch.Size([2304]),12,0,"{'devacc': np.float64(87.8), 'acc': np.float64(86.81), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.04), 'acc': np.float64(90.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.94), 'acc': np.float64(94.91), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.74), 'acc': np.float64(90.47), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(92.55), 'acc': 92.64, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.76), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.35), 'acc': 77.04, 'f1': 83.61, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM+AVG-NS_BEST,1,torch.Size([2304]),12,0,"{'devacc': np.float64(87.6), 'acc': np.float64(87.22), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.82), 'acc': np.float64(90.41), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.12), 'acc': np.float64(95.17), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.84), 'acc': np.float64(90.22), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(93.0), 'acc': 92.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.11), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.28), 'acc': 72.23, 'f1': 80.17, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM+SUM-NS_BEST,1,torch.Size([2304]),12,0,"{'devacc': np.float64(87.37), 'acc': np.float64(86.65), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.46), 'acc': np.float64(90.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.81), 'acc': np.float64(95.21), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.13), 'acc': np.float64(89.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(92.55), 'acc': 92.09, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.01), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.31), 'acc': 67.83, 'f1': 72.97, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM+MAX-NS_BEST,1,torch.Size([2304]),12,0,"{'devacc': np.float64(87.5), 'acc': np.float64(86.44), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.4), 'acc': np.float64(90.46), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.0), 'acc': np.float64(95.33), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.17), 'acc': np.float64(89.58), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(92.78), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.14), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.26), 'acc': 72.35, 'f1': 80.28, 'ndev': 4076, 'ntest': 1725}"
